735180.17,0.89633289,14.1066,268.845
735180.21,0.90521388,14.2731,268.713
735180.25,0.92395443,14.0814,268.577
735180.29,0.94779094,13.909,268.687
735180.33,0.95549026,13.7742,268.968
735180.38,0.96067853,13.6964,269.211
735180.42,0.97040885,13.6382,269.17
735180.46,1.0064498,13.5664,268.749
735180.5,1.047439,13.4647,268.23
735180.54,1.0837938,13.3487,267.703
735180.58,1.1275341,13.2157,267.177
735180.62,1.1733607,13.0387,266.73
735180.67,1.203678,12.8817,266.423
735180.71,1.2250034,12.7708,266.151
735180.75,1.2434486,12.7482,265.929
735180.79,1.2453688,12.727,265.784
735180.83,1.243467,12.6916,265.693
735180.88,1.2407344,12.6764,265.697
735180.92,1.2332382,12.6647,265.708
735180.96,1.226979,12.6385,265.635
735181,1.222954,12.6012,265.565
735181.04,1.2117281,12.5637,265.55
735181.08,1.2004099,12.5188,265.547
735181.12,1.1934122,12.4841,265.52
735181.17,1.1913812,12.4502,265.455
735181.21,1.1905134,12.4093,265.304
735181.25,1.1975111,12.3908,265.181
735181.29,1.2020716,12.3685,264.963
735181.33,1.2022932,12.3561,264.539
735181.38,1.2095679,12.3453,264.12
735181.42,1.219409,12.3417,263.644
735181.46,1.2272929,12.3433,263.101
735181.5,1.2330905,12.3344,262.789
735181.54,1.2359154,12.3225,262.592
735181.58,1.2304502,12.298,262.562
735181.62,1.2149777,12.2029,262.847
735181.67,1.1838296,12.0291,263.193
735181.71,1.1458131,11.8949,263.554
735181.75,1.1043253,11.7864,264.022
735181.79,1.0638901,11.6477,264.368
735181.83,1.0233071,11.5239,264.762
735181.88,0.9791606,11.4562,265.4
735181.92,0.93355551,11.3789,265.977
735181.96,0.8958713,11.3721,266.492
735182,0.86941296,11.3504,266.841
735182.04,0.85259262,11.3168,266.79
735182.08,0.84577955,11.3286,266.736
735182.12,0.84057282,11.2912,266.812
735182.17,0.83215342,11.2585,266.838
735182.21,0.83854182,11.2694,267.19
735182.25,0.84238225,11.1802,267.646
735182.29,0.84029586,11.1003,267.655
735182.33,0.84847524,10.9699,267.755
735182.38,0.84125597,10.8615,268.198
